Item,Qty,Reference(s),Value,LibPart,Footprint,Mouser
1,4,"C1, C2, C3, C4",0.1uF,device:C,Passive:C_Disc_D0.2in_W0.1in_P0.2in,594-K104K15X7RF53H5 
2,2,"C5, C6",10uF,device:CP1_Small,Passive:C_Disc_D0.2in_W0.1in_P0.2in,581-TAP106K016CRS 
3,1,J1,DB62,connectors:DB62,Conn:DB62,636-181-062-213R561
5,2,"RN1, RN5",8.2K,discretes:RPAC15_BUSSED_IND,Active:DIP254P762X635-16,652-4116R-2LF-10K 
6,2,"RN2, RN3",330,discretes:RPAC15_BUSSED_IND,Active:DIP254P762X635-16,652-4116R-2LF-330 
7,1,RN4,2K,discretes:RPAC15_BUSSED_IND,Active:DIP254P762X635-16,652-4116R-2LF-2K 
8,1,TD1,DS1005,logic:DS1005,Active:DIP254P762X635-14,14T150 or equiv
9,1,U1,74LS10,74xx:74LS10,Active:DIP254P762X635-14,595-SN74LS10N 
10,2,"U2, U18",74LS00,74xx:74LS00,Active:DIP254P762X635-14,595-SN74LS00N 
11,1,U3,74LS30,74xx:74LS30,Active:DIP254P762X635-14,595-SN74LS30N 
12,3,"U4, U5, U6",74LS374,74xx:74LS374,Active:DIP254P762X635-20,595-SN74LS374N 
13,1,U7,74LS245,74xx:74LS245,Active:DIP254P762X635-20,595-SN74LS245N 
14,6,"U8, U20, U21, U22, U23, U24",74LS244,74xx:74LS244,Active:DIP254P762X635-20,595-SN74LS244N 
15,2,"U9, U10",74LS74,74xx:74LS74,Active:DIP254P762X635-14,595-SN74LS74N 
16,2,"U11, U16",74LS04,74xx:74LS04,Active:DIP254P762X635-14,595-SN74LS04N 
17,1,U12,74LS155,74xx:74LS155,Active:DIP254P762X635-16,595-SN74LS155AN 
18,1,U13,74LS138,74xx:74LS138,Active:DIP254P762X635-16,595-SN74LS138N 
19,3,"U14, U15, U19",74LS32,74xx:74LS32,Active:DIP254P762X635-14,595-SN74LS32N 
20,1,U17,74LS20,74xx:74LS20,Active:DIP254P762X635-14,595-SN74LS20N 
